function_name, calculator,N,init-time, calc-time, calc-hz, bytes, max-error, blank-column, err1, err2, err3, Blank
Nonsmooth_runge_abs,CPU-linear-sparse,8,0.001,106073,9427.47,4, 0.318407,,0.318407,0.14501,0.261666,
Nonsmooth_runge_abs,CPU-linear-sparse,12,0.001,15273,65475,4, 0.268269,,0.268269,0.121192,0.141008,
Nonsmooth_runge_abs,CPU-linear-sparse,16,0.005,19938,50155.5,4, 0.190483,,0.190483,0.0787764,0.0878467,
Nonsmooth_runge_abs,CPU-linear-sparse,20,0.001,98646,10137.3,4, 0.108485,,0.108485,0.0546759,0.0731623,
Nonsmooth_runge_abs,CPU-linear-sparse,24,0.001,46153,21667.1,4, 0.0661564,,0.0661564,0.0524752,0.0492486,
Nonsmooth_runge_abs,CPU-linear-sparse,28,0.001,83693,11948.4,4, 0.0457687,,0.0293397,0.0457687,0.0406905,
Nonsmooth_runge_abs,CPU-linear-sparse,32,0.002,89394,11186.4,4, 0.0411049,,0.0156181,0.0411049,0.0275532,
Nonsmooth_runge_abs,CPU-linear-sparse,36,0.003,73140,13672.4,4, 0.0476687,,0.0476687,0.0333868,0.0283103,
Nonsmooth_runge_abs,CPU-linear-sparse,40,0.004,70578,14168.7,4, 0.0498648,,0.0498648,0.0235713,0.0199387,
Nonsmooth_runge_abs,CPU-linear-sparse,44,0.006,105120,9512.94,4, 0.044449,,0.044449,0.0127506,0.0190111,
Nonsmooth_runge_abs,CPU-linear-sparse,48,0.007,126476,7906.64,4, 0.0331013,,0.0331013,0.0135711,0.0142323,
Nonsmooth_runge_abs,CPU-linear-sparse,52,0.009,128489,7782.77,4, 0.0225426,,0.0212576,0.0225426,0.0167241,
Nonsmooth_runge_abs,CPU-linear-sparse,56,0.011,165387,6046.42,4, 0.0163627,,0.0134342,0.0163627,0.0111282,
Nonsmooth_runge_abs,CPU-linear-sparse,60,0.013,186777,5353.98,4, 0.0117058,,0.00956896,0.0107352,0.0117058,
Nonsmooth_runge_abs,CPU-linear-sparse,64,0.016,223811,4468.06,4, 0.0110172,,0.00930303,0.00817849,0.0110172,
Nonsmooth_runge_abs,CPU-linear-sparse,68,0.02,256238,3902.62,4, 0.0147615,,0.0147615,0.00747215,0.0125946,
Nonsmooth_runge_abs,CPU-linear-sparse,72,0.023,279713,3575.09,4, 0.0188989,,0.0188989,0.00720021,0.00698583,
Nonsmooth_runge_abs,CPU-linear-sparse,76,0.027,341759,2926.04,4, 0.0168741,,0.0168741,0.00676546,0.00831305,
