functionName, calculator,N,initTime, calcTime, calcHz, bytes, maxError, blankColumn, err1, err2, err3, Blank
SmoothRunge,GPUChebDense,8,0.147,102731,9734.16,8, 0.306002,,0.306002,0.135315,0.161825,
SmoothRunge,GPUChebDense,12,0.025,92621,10796.7,8, 0.126854,,0.126854,0.0950709,0.0964721,
SmoothRunge,GPUChebDense,16,0.064,111884,8937.83,8, 0.0660083,,0.0660083,0.0288792,0.0349197,
SmoothRunge,GPUChebDense,20,0.038,150694,6635.96,8, 0.0314933,,0.0314933,0.0121416,0.0137787,
SmoothRunge,GPUChebDense,24,0.033,187133,5343.79,8, 0.00558097,,0.00558097,0.00551673,0.00425036,
SmoothRunge,GPUChebDense,28,0.038,234449,4265.32,8, 0.00219381,,0.00219381,0.00191315,0.00212899,
SmoothRunge,GPUChebDense,32,0.047,323212,3093.94,8, 0.00122487,,0.000698343,0.000979535,0.00122487,
SmoothRunge,GPUChebDense,36,0.079,391148,2556.58,8, 0.000476931,,0.000243372,0.000429933,0.000476931,
SmoothRunge,GPUChebDense,40,0.142,486431,2055.79,8, 0.00012404,,0.000112582,0.000101241,0.00012404,
SmoothRunge,GPUChebDense,44,0.319,769684,1299.23,8, 8.39016e-05,,8.39016e-05,6.30718e-05,7.17597e-05,
SmoothRunge,GPUChebDense,48,0.415,1.03249e+06,968.535,8, 4.5653e-05,,4.5653e-05,3.38185e-05,3.84009e-05,
SmoothRunge,GPUChebDense,52,0.519,1.10535e+06,904.688,8, 2.104e-05,,2.104e-05,1.28536e-05,1.53927e-05,
SmoothRunge,GPUChebDense,56,0.718,1.20914e+06,827.038,8, 6.2349e-06,,6.2349e-06,4.79358e-06,3.95305e-06,
SmoothRunge,GPUChebDense,60,0.921,2.0613e+06,485.13,8, 4.12598e-06,,4.12598e-06,2.39788e-06,2.50398e-06,
SmoothRunge,GPUChebDense,64,1.449,1.86503e+06,536.183,8, 1.99713e-06,,1.99713e-06,1.15792e-06,1.25597e-06,
SmoothRunge,GPUChebDense,68,1.563,3.10317e+06,322.251,8, 6.98351e-07,,6.98351e-07,4.50092e-07,5.48285e-07,
SmoothRunge,GPUChebDense,72,2.009,3.61118e+06,276.918,8, 1.45101e-07,,1.45101e-07,1.22527e-07,1.40494e-07,
SmoothRunge,GPUChebDense,76,2.506,3.51582e+06,284.428,8, 9.20356e-08,,9.20356e-08,7.65284e-08,8.94444e-08,
SmoothRunge,GPUChebDense,80,3.048,5.2683e+06,189.815,8, 4.625e-08,,3.11229e-08,4.14768e-08,4.625e-08,
SmoothRunge,GPUChebDense,84,3.84,6.18134e+06,161.777,8, 1.91296e-08,,1.02929e-08,1.62981e-08,1.91296e-08,
SmoothRunge,GPUChebDense,88,4.48,6.29928e+06,158.748,8, 5.97362e-09,,5.01444e-09,5.97362e-09,5.09897e-09,
SmoothRunge,GPUChebDense,92,5.75,6.68171e+06,149.662,8, 3.29222e-09,,2.13662e-09,2.7205e-09,3.29222e-09,
SmoothRunge,GPUChebDense,96,7.884,8.26334e+06,121.016,8, 1.74681e-08,,1.58e-09,1.74681e-08,1.68917e-09,
SmoothRunge,GPUChebDense,100,8.238,9.1196e+06,109.654,8, 1.95126e-07,,9.255e-10,5.88011e-10,1.95126e-07,
SmoothRunge,GPUChebDense,104,9.003,1.31671e+07,75.9471,8, 1.43587e-09,,1.43587e-09,1.74925e-10,1.87272e-10,
SmoothRunge,GPUChebDense,108,11.547,1.53739e+07,65.0455,8, 2.06153e-10,,1.79618e-10,9.88654e-11,2.06153e-10,
SmoothRunge,GPUChebDense,112,13.689,1.4787e+07,67.6269,8, 9.43181e-11,,9.43181e-11,5.64135e-11,6.40003e-11,
SmoothRunge,GPUChebDense,116,15.927,1.66559e+07,60.0388,8, 3.21582e-06,,4.6941e-11,2.8633e-10,3.21582e-06,
SmoothRunge,GPUChebDense,120,17.403,1.80699e+07,55.3407,8, 1.88823e-05,,3.35188e-10,7.6081e-12,1.88823e-05,
SmoothRunge,GPUChebDense,124,20.841,2.1796e+07,45.88,8, 1.0784e-09,,1.85615e-10,1.0784e-09,4.45679e-12,
Finished a list. std::bad_alloc
