function_name, calculator,N,init_time, calc_time, calc_hz, bytes, max_error, blank_column, err1, err2, err3, Blank
Smooth_poly,DCT+Bessel+IDCT                    ,8,0.001,6592,151699,8, 0.623731,,0.0327524,0.0621574,0.623731,
Smooth_poly,DCT+Bessel+IDCT                    ,12,0.003,12165,82203,8, 0.767215,,0.0279994,0.147719,0.767215,
Smooth_poly,DCT+Bessel+IDCT                    ,16,0.003,21162,47254.5,8, 0.885935,,0.0236681,0.185493,0.885935,
Smooth_poly,DCT+Bessel+IDCT                    ,20,0.02,30142,33176.3,8, 0.95608,,0.019553,0.207714,0.95608,
Smooth_poly,DCT+Bessel+IDCT                    ,24,0.028,64428,15521.2,8, 1.00237,,0.0156337,0.222049,1.00237,
Smooth_poly,DCT+Bessel+IDCT                    ,28,0.013,103657,9647.2,8, 1.0352,,0.0119197,0.232169,1.0352,
Smooth_poly,DCT+Bessel+IDCT                    ,32,0.012,72903,13716.9,8, 1.05968,,0.0084242,0.239651,1.05968,
Smooth_poly,DCT+Bessel+IDCT                    ,36,0.036,139570,7164.86,8, 1.07865,,0.00515856,0.245425,1.07865,
Smooth_poly,DCT+Bessel+IDCT                    ,40,0.046,161804,6180.32,8, 1.09359,,0.00243214,0.250009,1.09359,
Smooth_poly,DCT+Bessel+IDCT                    ,44,0.011,214887,4653.61,8, 1.10557,,0.00320226,0.253739,1.10557,
Smooth_poly,DCT+Bessel+IDCT                    ,48,0.042,225763,4429.42,8, 1.1156,,0.00367289,0.256834,1.1156,
Smooth_poly,DCT+Bessel+IDCT                    ,52,0.014,452589,2209.51,8, 1.1241,,0.00553484,0.259441,1.1241,
Smooth_poly,DCT+Bessel+IDCT                    ,56,0.024,317116,3153.42,8, 1.13141,,0.00763714,0.261669,1.13141,
Smooth_poly,DCT+Bessel+IDCT                    ,60,0.066,343632,2910.09,8, 1.13775,,0.00953257,0.263594,1.13775,
Smooth_poly,DCT+Bessel+IDCT                    ,64,0.028,420428,2378.53,8, 1.14332,,0.0112365,0.265274,1.14332,
Smooth_poly,DCT+Bessel+IDCT                    ,68,0.028,688857,1451.68,8, 1.14823,,0.0127659,0.266753,1.14823,
Smooth_poly,DCT+Bessel+IDCT                    ,72,0.066,492840,2029.06,8, 1.15248,,0.014138,0.268066,1.15248,
Smooth_poly,DCT+Bessel+IDCT                    ,76,0.027,847741,1179.61,8, 1.15628,,0.0153705,0.269238,1.15628,
Smooth_poly,DCT+Bessel+IDCT                    ,80,0.073,586731,1704.36,8, 1.15971,,0.0164803,0.270292,1.15971,
Smooth_poly,DCT+Bessel+IDCT                    ,84,0.043,658569,1518.44,8, 1.16284,,0.0174832,0.271243,1.16284,
Smooth_poly,DCT+Bessel+IDCT                    ,88,0.027,1.18347e+06,844.973,8, 1.16569,,0.0183938,0.272108,1.16569,
Smooth_poly,DCT+Bessel+IDCT                    ,92,0.03,1.39512e+06,716.784,8, 1.1683,,0.019225,0.272896,1.1683,
Smooth_poly,DCT+Bessel+IDCT                    ,96,0.079,840443,1189.85,8, 1.1707,,0.0199879,0.273617,1.1707,
Smooth_poly,DCT+Bessel+IDCT                    ,100,0.074,1.08858e+06,918.632,8, 1.17288,,0.0206922,0.274281,1.17288,
