functionName, calculator,N,initTime, calcTime, calcHz, bytes, maxError, blankColumn, err1, err2, err3, Blank
SmoothPoly,CPUChebDense,8,0.03,78724,12702.6,4, 0.0384261,,0.0312095,0.02523,0.0384261,
SmoothPoly,CPUChebDense,12,0.025,107814,9275.23,4, 0.0385373,,0.0256548,0.0136739,0.0385373,
SmoothPoly,CPUChebDense,16,0.028,450559,2219.47,4, 0.0268595,,0.0207546,0.00881563,0.0268595,
SmoothPoly,CPUChebDense,20,0.029,834646,1198.11,4, 0.0163622,,0.0163622,0.00608572,0.0141522,
SmoothPoly,CPUChebDense,24,0.073,2.03157e+06,492.23,4, 0.012498,,0.012498,0.00434382,0.00870298,
SmoothPoly,CPUChebDense,28,0.097,3.82987e+06,261.105,4, 0.0101725,,0.0091927,0.00317026,0.0101725,
SmoothPoly,CPUChebDense,32,0.102,1.38509e+07,72.1973,4, 0.00879533,,0.00645803,0.00233717,0.00879533,
SmoothPoly,CPUChebDense,36,0.143,1.1482e+07,87.0925,4, 0.0056096,,0.00428397,0.00172965,0.0056096,
SmoothPoly,CPUChebDense,40,0.152,3.04571e+07,32.8331,4, 0.00405285,,0.00263776,0.00129137,0.00405285,
SmoothPoly,CPUChebDense,44,0.2,2.66613e+07,37.5075,4, 0.00501245,,0.0027719,0.00123585,0.00501245,
SmoothPoly,CPUChebDense,48,0.228,5.88081e+07,17.0045,4, 0.00464626,,0.00291779,0.00122491,0.00464626,
SmoothPoly,CPUChebDense,52,0.275,5.61504e+07,17.8093,4, 0.00318152,,0.00282367,0.00120196,0.00318152,
SmoothPoly,CPUChebDense,56,0.302,1.60337e+08,6.23685,4, 0.00254504,,0.00254504,0.00116798,0.00244091,
SmoothPoly,CPUChebDense,60,0.369,1.00965e+08,9.90439,4, 0.00309678,,0.00214916,0.00112258,0.00309678,
SmoothPoly,CPUChebDense,64,0.436,2.6509e+08,3.77231,4, 0.00297086,,0.0017019,0.00106807,0.00297086,
SmoothPoly,CPUChebDense,68,0.486,2.72184e+08,3.67398,4, 0.00211068,,0.00125892,0.0010049,0.00211068,
SmoothPoly,CPUChebDense,72,0.597,2.27814e+08,4.38954,4, 0.00167004,,0.000969496,0.000935148,0.00167004,
SmoothPoly,CPUChebDense,76,0.71,4.27139e+08,2.34116,4, 0.00215044,,0.00115948,0.000858096,0.00215044,
SmoothPoly,CPUChebDense,80,0.809,7.15374e+08,1.39787,4, 0.00210647,,0.00126325,0.000778022,0.00210647,
SmoothPoly,CPUChebDense,84,0.933,5.14759e+08,1.94266,4, 0.00152933,,0.00126737,0.000693789,0.00152933,
SmoothPoly,CPUChebDense,88,1.097,8.13516e+08,1.22923,4, 0.00123228,,0.00118365,0.00060926,0.00123228,
SmoothPoly,CPUChebDense,92,1.093,7.15058e+08,1.39849,4, 0.0016039,,0.00103478,0.000525725,0.0016039,
SmoothPoly,CPUChebDense,96,1.474,1.62479e+09,0.615466,4, 0.0015927,,0.00084794,0.000446251,0.0015927,
SmoothPoly,CPUChebDense,100,1.681,1.25326e+09,0.797922,4, 0.00117582,,0.000649236,0.000372393,0.00117582,
SmoothPoly,CPUChebDense,104,1.95,1.37919e+09,0.725062,4, 0.000957163,,0.000554566,0.000309608,0.000957163,
SmoothPoly,CPUChebDense,108,2.168,1.56333e+09,0.639659,4, 0.00125648,,0.000669468,0.000332766,0.00125648,
SmoothPoly,CPUChebDense,112,2.583,2.817e+09,0.354987,4, 0.00125577,,0.000738981,0.000351298,0.00125577,
SmoothPoly,CPUChebDense,116,2.877,2.30869e+09,0.433145,4, 0.000939358,,0.000753014,0.000366419,0.000939358,
SmoothPoly,CPUChebDense,120,3.239,3.10135e+09,0.322441,4, 0.000771898,,0.000714084,0.000375475,0.000771898,
SmoothPoly,CPUChebDense,124,3.766,3.21868e+09,0.310687,4, 0.00101422,,0.000634213,0.000379489,0.00101422,
SmoothPoly,CPUChebDense,128,4.263,5.25179e+09,0.190411,4, 0.0010239,,0.000528079,0.000378462,0.0010239,
SmoothPoly,CPUChebDense,132,4.684,4.47176e+09,0.223626,4, 0.000772732,,0.000411331,0.00037228,0.000772732,
SmoothPoly,CPUChebDense,136,5.414,5.18576e+09,0.192836,4, 0.000638137,,0.00036928,0.0003592,0.000638137,
SmoothPoly,CPUChebDense,140,5.916,4.29747e+09,0.232695,4, 0.000846737,,0.000448302,0.000343125,0.000846737,
SmoothPoly,CPUChebDense,144,6.482,7.71888e+09,0.129552,4, 0.000855641,,0.000498255,0.000320721,0.000855641,
SmoothPoly,CPUChebDense,148,7.369,7.90483e+09,0.126505,4, 0.000647222,,0.000511657,0.00029536,0.000647222,
SmoothPoly,CPUChebDense,152,8.306,7.16793e+09,0.13951,4, 0.000542964,,0.000489849,0.000268294,0.000542964,
Finished a list. std::bad_alloc
