functionName, calculator,N,initTime, calcTime, calcHz, bytes, maxError, blankColumn, err1, err2, err3, Blank
SmoothExp,CPULinearQuad,8,0,7.11227e+06,140.602,8, 0.477316,,0.477316,0.39659,0.448937,
SmoothExp,CPULinearQuad,12,0,2.10614e+07,47.4803,8, 0.342585,,0.342585,0.229055,0.319784,
SmoothExp,CPULinearQuad,16,0,5.30332e+07,18.8561,8, 0.213576,,0.213576,0.155686,0.15399,
SmoothExp,CPULinearQuad,20,0,1.11785e+08,8.94577,8, 0.145748,,0.125142,0.0992022,0.145748,
SmoothExp,CPULinearQuad,24,0,1.74637e+08,5.72615,8, 0.0983031,,0.0675576,0.0900332,0.0983031,
SmoothExp,CPULinearQuad,28,0,2.93969e+08,3.40172,8, 0.0882216,,0.0302601,0.0757918,0.0882216,
SmoothExp,CPULinearQuad,32,0,4.20681e+08,2.3771,8, 0.0621767,,0.00801628,0.0621767,0.0356034,
SmoothExp,CPULinearQuad,36,0,6.27975e+08,1.59242,8, 0.0637658,,0.0527949,0.048686,0.0637658,
SmoothExp,CPULinearQuad,40,0,8.842e+08,1.13097,8, 0.0547063,,0.0547063,0.033207,0.0313133,
SmoothExp,CPULinearQuad,44,0,1.14059e+09,0.876738,8, 0.0460431,,0.0460431,0.022227,0.0437708,
SmoothExp,CPULinearQuad,48,0,1.32158e+09,0.756671,8, 0.0342867,,0.0342867,0.0306023,0.0168102,
SmoothExp,CPULinearQuad,52,0,1.858e+09,0.538212,8, 0.0412826,,0.0224161,0.0412826,0.0341871,
SmoothExp,CPULinearQuad,56,0,2.3637e+09,0.423066,8, 0.0301357,,0.011747,0.0301357,0.0158304,
SmoothExp,CPULinearQuad,60,0,2.7238e+09,0.367134,8, 0.0269762,,0.00294054,0.0216165,0.0269762,
SmoothExp,CPULinearQuad,64,0,3.36627e+09,0.297064,8, 0.0144034,,0.00616677,0.0144034,0.0105065,
SmoothExp,CPULinearQuad,68,0,4.31105e+09,0.231962,8, 0.0223594,,0.0156468,0.00978468,0.0223594,
SmoothExp,CPULinearQuad,72,0,4.51421e+09,0.221523,8, 0.0192165,,0.0192165,0.00784257,0.00926502,
SmoothExp,CPULinearQuad,76,0,5.52885e+09,0.180869,8, 0.0180139,,0.0172394,0.0066718,0.0180139,
SmoothExp,CPULinearQuad,80,0,6.70468e+09,0.14915,8, 0.0135399,,0.0135399,0.0079807,0.00757572,
SmoothExp,CPULinearQuad,84,0,7.74562e+09,0.129105,8, 0.0159933,,0.00915041,0.00958431,0.0159933,
SmoothExp,CPULinearQuad,88,0,8.79694e+09,0.113676,8, 0.0103432,,0.00450466,0.0103432,0.0058404,
SmoothExp,CPULinearQuad,92,0,9.72924e+09,0.102783,8, 0.012905,,0.00142057,0.0100762,0.012905,
SmoothExp,CPULinearQuad,96,0,1.14122e+10,0.0876258,8, 0.00964576,,0.00490535,0.00964576,0.00564018,
SmoothExp,CPULinearQuad,100,0,1.29924e+10,0.076968,8, 0.0122467,,0.00739985,0.00855658,0.0122467,
SmoothExp,CPULinearQuad,104,0,1.47433e+10,0.0678274,8, 0.00978223,,0.00978223,0.00632666,0.00455185,
