function_name, calculator,N,init-time, calc-time, calc-hz, bytes, max-error, blank-column, err1, err2, err3, Blank
Smooth_exp,CPU-DCT-nopad,8,0.001,5212,191865,8, 0.147823,,0.0194662,0.147823,0.124489,
Smooth_exp,CPU-DCT-nopad,12,0.003,10441,95776.3,8, 0.105866,,0.000900493,0.0105911,0.105866,
Smooth_exp,CPU-DCT-nopad,16,0.003,16782,59587.7,8, 0.197138,,3.28036e-05,0.000335868,0.197138,
Smooth_exp,CPU-DCT-nopad,20,0.022,32320,30940.6,8, 0.272742,,4.29048e-07,8.3413e-05,0.272742,
Smooth_exp,CPU-DCT-nopad,24,0.03,116887,8555.27,8, 0.3296,,2.27924e-09,0.000139917,0.3296,
Smooth_exp,CPU-DCT-nopad,28,0.015,94450,10587.6,8, 0.373571,,7.45108e-11,0.000200454,0.373571,
Smooth_exp,CPU-DCT-nopad,32,0.014,72099,13869.8,8, 0.407977,,9.41199e-11,0.000260444,0.407977,
Smooth_exp,CPU-DCT-nopad,36,0.039,133346,7499.29,8, 0.435137,,1.16865e-10,0.000317326,0.435137,
Smooth_exp,CPU-DCT-nopad,40,0.05,158612,6304.69,8, 0.457275,,1.41365e-10,0.00037079,0.457275,
Smooth_exp,CPU-DCT-nopad,44,0.012,223436,4475.55,8, 0.475608,,1.66846e-10,0.000420389,0.475608,
Smooth_exp,CPU-DCT-nopad,48,0.054,389133,2569.82,8, 0.49097,,1.92711e-10,0.000466388,0.49097,
Smooth_exp,CPU-DCT-nopad,52,0.013,286023,3496.22,8, 0.504029,,2.1851e-10,0.00050831,0.504029,
Smooth_exp,CPU-DCT-nopad,56,0.028,347166,2880.47,8, 0.51526,,2.43909e-10,0.000547055,0.51526,
Smooth_exp,CPU-DCT-nopad,60,0.072,329517,3034.74,8, 0.525015,,2.68672e-10,0.00058274,0.525015,
Smooth_exp,CPU-DCT-nopad,64,0.029,296887,3368.28,8, 0.533559,,2.92641e-10,0.000615573,0.533559,
Smooth_exp,CPU-DCT-nopad,68,0.028,621772,1608.31,8, 0.541078,,3.15714e-10,0.000645956,0.541078,
Smooth_exp,CPU-DCT-nopad,72,0.071,544281,1837.29,8, 0.54778,,3.37837e-10,0.000674045,0.54778,
Smooth_exp,CPU-DCT-nopad,76,0.029,780677,1280.94,8, 0.553776,,3.58993e-10,0.000700101,0.553776,
Smooth_exp,CPU-DCT-nopad,80,0.083,674042,1483.59,8, 0.559179,,3.79189e-10,0.000724316,0.559179,
