functionName, calculator,N,initTime, calcTime, calcHz, bytes, maxError, blankColumn, err1, err2, err3, Blank
SmoothExp,CPULinearQuad,8,0,2.37904e+08,4.20337,4, 0.477316,,0.477316,0.39659,0.448937,
SmoothExp,CPULinearQuad,12,0,5.70924e+08,1.75155,4, 0.342585,,0.342585,0.229055,0.319784,
SmoothExp,CPULinearQuad,16,0,1.30834e+09,0.764328,4, 0.213576,,0.213576,0.155687,0.15399,
SmoothExp,CPULinearQuad,20,0,2.43491e+09,0.410693,4, 0.145748,,0.125142,0.0992082,0.145748,
SmoothExp,CPULinearQuad,24,0,3.81423e+09,0.262176,4, 0.0983038,,0.0675577,0.0900333,0.0983038,
SmoothExp,CPULinearQuad,28,0,5.45994e+09,0.183152,4, 0.0882212,,0.03026,0.0757918,0.0882212,
SmoothExp,CPULinearQuad,32,0,7.29387e+09,0.137101,4, 0.0621767,,0.00801628,0.0621767,0.0356033,
SmoothExp,CPULinearQuad,36,0,9.68107e+09,0.103294,4, 0.0637683,,0.052795,0.0486861,0.0637683,
SmoothExp,CPULinearQuad,40,0,1.24339e+10,0.0804256,4, 0.0547063,,0.0547063,0.0332071,0.0313133,
SmoothExp,CPULinearQuad,44,0,1.58322e+10,0.0631624,4, 0.0460432,,0.0460432,0.022227,0.0437704,
SmoothExp,CPULinearQuad,48,0,1.86145e+10,0.0537216,4, 0.0342867,,0.0342867,0.0306025,0.016831,
SmoothExp,CPULinearQuad,52,0,2.30597e+10,0.0433658,4, 0.0412827,,0.0224161,0.0412827,0.0341871,
SmoothExp,CPULinearQuad,56,0,2.74113e+10,0.0364813,4, 0.030136,,0.011747,0.030136,0.0158252,
SmoothExp,CPULinearQuad,60,0,3.17093e+10,0.0315365,4, 0.0269775,,0.00294061,0.0216167,0.0269775,
SmoothExp,CPULinearQuad,64,0,3.6496e+10,0.0274003,4, 0.0144036,,0.00616683,0.0144036,0.0105081,
SmoothExp,CPULinearQuad,68,0,4.3286e+10,0.0231022,4, 0.0223593,,0.0156468,0.00978417,0.0223593,
SmoothExp,CPULinearQuad,72,0,4.83824e+10,0.0206687,4, 0.0192165,,0.0192165,0.00784321,0.00926799,
SmoothExp,CPULinearQuad,76,0,5.46472e+10,0.0182992,4, 0.0180149,,0.0172394,0.00667174,0.0180149,
SmoothExp,CPULinearQuad,80,0,6.17177e+10,0.0162028,4, 0.01354,,0.01354,0.00798148,0.00757804,
SmoothExp,CPULinearQuad,84,0,6.93178e+10,0.0144263,4, 0.0159973,,0.00915042,0.00958669,0.0159973,
SmoothExp,CPULinearQuad,88,0,7.63045e+10,0.0131054,4, 0.0103537,,0.00450465,0.0103537,0.00583998,
SmoothExp,CPULinearQuad,92,0,8.36032e+10,0.0119613,4, 0.0129051,,0.00142055,0.0100758,0.0129051,
SmoothExp,CPULinearQuad,96,0,9.32325e+10,0.0107259,4, 0.0096457,,0.00490555,0.0096457,0.00565042,
